lr,epochs,accuracy,f1_score
0.001,10.0,0.45454545454545453,0.5384615384615384
0.001,50.0,0.45454545454545453,0.5384615384615384
0.001,100.0,0.45454545454545453,0.5384615384615384
0.001,150.0,0.45454545454545453,0.5384615384615384
0.05,10.0,0.45454545454545453,0.5384615384615384
0.05,50.0,0.45454545454545453,0.5384615384615384
0.05,100.0,0.45454545454545453,0.5384615384615384
0.05,150.0,0.45454545454545453,0.5384615384615384
0.1,10.0,0.45454545454545453,0.5384615384615384
0.1,50.0,0.45454545454545453,0.5384615384615384
0.1,100.0,0.45454545454545453,0.5384615384615384
0.1,150.0,0.45454545454545453,0.5384615384615384
