lr,epochs,accuracy,f1_score
0.001,10.0,0.4791666666666667,0.5192307692307693
0.001,50.0,0.4791666666666667,0.5192307692307693
0.001,100.0,0.4791666666666667,0.5192307692307693
0.001,150.0,0.4791666666666667,0.5192307692307693
0.05,10.0,0.4791666666666667,0.5192307692307693
0.05,50.0,0.4791666666666667,0.5192307692307693
0.05,100.0,0.4791666666666667,0.5192307692307693
0.05,150.0,0.4791666666666667,0.5192307692307693
0.1,10.0,0.4791666666666667,0.5192307692307693
0.1,50.0,0.4791666666666667,0.5192307692307693
0.1,100.0,0.4791666666666667,0.5192307692307693
0.1,150.0,0.4791666666666667,0.5192307692307693
